Title,Year,Director,Missing,Search Query
"Hantakulostunnaru Jagratha",1966,"A. Katherine","poster; tmdb_id","Hantakulostunnaru Jagratha 1966 Telugu film Krishna"
"Attagaru Kotha Kodalu",1968,"Sanjeevi","poster; tmdb_id","Attagaru Kotha Kodalu 1968 Telugu film Krishna"
"Amayakudu",1968,"V. Ramachandra Rao","poster","Amayakudu 1968 Telugu film Krishna"
"Annadammulu",1969,"K. Viswanath","poster; tmdb_id","Annadammulu 1969 Telugu film Krishna"
"Bandipotu Bheemanna",1969,"K. Pratyagatma","poster; tmdb_id","Bandipotu Bheemanna 1969 Telugu film Krishna"
"Muhrutha Balam",1969,"K. Viswanath","poster; tmdb_id","Muhrutha Balam 1969 Telugu film Krishna"
"Astulu Anthastulu",1969,"K. Viswanath","poster; tmdb_id","Astulu Anthastulu 1969 Telugu film Krishna"
"Karpoora Harathi",1969,"K. Viswanath","poster; tmdb_id","Karpoora Harathi 1969 Telugu film Krishna"
"Bhale Abbailu",1969,"K. Viswanath","poster; tmdb_id","Bhale Abbailu 1969 Telugu film Krishna"
"Pelli Koothuru",1970,"V. Ramachandra Rao","poster; tmdb_id","Pelli Koothuru 1970 Telugu film Krishna"
"Andarki Monagadu",1970,"M. Mallikarjuna Rao","poster; tmdb_id","Andarki Monagadu 1970 Telugu film Krishna"
"Paga Sadista",1970,"K. S. R. Das","poster; tmdb_id","Paga Sadista 1970 Telugu film Krishna"
"Pachhani Samsaram",1970,"P. Lakshmi Deepak","poster; tmdb_id","Pachhani Samsaram 1970 Telugu film Krishna"
"Akhandudu",1970,"V. Ramachandra Rao","poster; tmdb_id","Akhandudu 1970 Telugu film Krishna"
"Master Kiladi",1971,"M. Mallikarjuna Rao","poster; tmdb_id","Master Kiladi 1971 Telugu film Krishna"
"Gudachari 003",1971,"A. R. K. Prasad","poster; tmdb_id","Gudachari 003 1971 Telugu film Krishna"
"Marapurani Talli",1972,"K.S. Prakash Rao","poster; tmdb_id","Marapurani Talli 1972 Telugu film Krishna"
"Menakodalu",1972,"B.S. Narayana","poster; tmdb_id","Menakodalu 1972 Telugu film Krishna"
"Monagadostunnadu Jagartta",1972,"K.S.R. Das","poster; tmdb_id","Monagadostunnadu Jagartta 1972 Telugu film Krishna"
"Guduputani",1972,"P. Lakshmi Deepak","poster; tmdb_id","Guduputani 1972 Telugu film Krishna"
"Kodalupilla",1972,"M. Mallikarjuna Rao","poster; tmdb_id","Kodalupilla 1972 Telugu film Krishna"
"Bale Mosagadu",1972,"P. Sambasiva Rao","poster; tmdb_id","Bale Mosagadu 1972 Telugu film Krishna"
"Kattula Rattayya",1972,"K.S.R. Das","poster; tmdb_id","Kattula Rattayya 1972 Telugu film Krishna"
"Hantakulu Devantakulu",1972,"Dasari Narayana Rao","poster; tmdb_id","Hantakulu Devantakulu 1972 Telugu film Krishna"
"Antha Mana Manichike",1972,"Bhanumathi Ramakrishna","poster; tmdb_id","Antha Mana Manichike 1972 Telugu film Krishna"
"Nijam Nirupista",1972,"S.S. Devadas","poster; tmdb_id","Nijam Nirupista 1972 Telugu film Krishna"
"Maa Oori Monagallu",1972,"K.S.R. Das","poster; tmdb_id","Maa Oori Monagallu 1972 Telugu film Krishna"
"Abbaigaru Ammaigaru",1972,"V. Ramachandra Rao","poster; tmdb_id","Abbaigaru Ammaigaru 1972 Telugu film Krishna"
"Visali",1973,"C.S. Rao","poster; tmdb_id","Visali 1973 Telugu film Krishna"
"Sneha Bandham",1973,"K. Viswanath","poster; tmdb_id","Sneha Bandham 1973 Telugu film Krishna"
"Sthri Chandra Kala",1973,"C.S. Rao","poster; tmdb_id","Sthri Chandra Kala 1973 Telugu film Krishna"
"Adapillala Tandri",1974,"Dasari Narayana Rao","poster; tmdb_id","Adapillala Tandri 1974 Telugu film Krishna"
"Gali Patalu",1974,"K.B. Srinivasan","poster; tmdb_id","Gali Patalu 1974 Telugu film Krishna"
"Adambaralu Anubandhalu",1974,"K. Vasu","poster; tmdb_id","Adambaralu Anubandhalu 1974 Telugu film Krishna"
"Manshulu Mati Bommalu",1974,"B. Baskar","poster; tmdb_id","Manshulu Mati Bommalu 1974 Telugu film Krishna"
"Uthama Illalu",1974,"Dasari Narayana Rao","poster; tmdb_id","Uthama Illalu 1974 Telugu film Krishna"
"Intiniti Katha",1974,"K. Balachander","poster; tmdb_id","Intiniti Katha 1974 Telugu film Krishna"
"Peddalu Marali",1974,"P. Chandrasekhara Reddy","poster","Peddalu Marali 1974 Telugu film Krishna"
"Amma Manasu",1974,"K. Vasu","poster; tmdb_id","Amma Manasu 1974 Telugu film Krishna"
"Rakthasambandhalu",1975,"M. Mallikarjuna Rao","poster; tmdb_id","Rakthasambandhalu 1975 Telugu film Krishna"
"Abhimanavathi",1975,"K. Vasu","poster; tmdb_id","Abhimanavathi 1975 Telugu film Krishna"
"Gajula Kishtayya",1975,"K. Vasu","poster; tmdb_id","Gajula Kishtayya 1975 Telugu film Krishna"
"Santanam Soubhagyam",1975,"D. S. Prakash Rao","poster; tmdb_id","Santanam Soubhagyam 1975 Telugu film Krishna"
"Kothakapuram",1975,"K. Vasu","poster; tmdb_id","Kothakapuram 1975 Telugu film Krishna"
"Ramayya Thandri",1975,"K. Vasu","poster; heroine; tmdb_id","Ramayya Thandri 1975 Telugu film Krishna"
"Zamindarugari Ammayi",1975,"K. Vasu","poster","Zamindarugari Ammayi 1975 Telugu film Krishna"
"Cheekati Velugulu",1975,"K. Vasu","poster; tmdb_id","Cheekati Velugulu 1975 Telugu film Krishna"
"Ramarajyamlo Rakthapasam",1976,"P. Chandrasekhara Reddy","poster; tmdb_id","Ramarajyamlo Rakthapasam 1976 Telugu film Krishna"
"Manavoori Katha",1976,"K. Hemandhara Rao","poster; tmdb_id","Manavoori Katha 1976 Telugu film Krishna"
"Janmajanmala Bandham",1977,"P. Chandrasekhara Reddy","poster; tmdb_id","Janmajanmala Bandham 1977 Telugu film Krishna"
